Countries,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Chile,19039484,19300315,19493184,19603733,19629590,19658839,19690323,19726828,19768916,19815709,19869597,19933769,20007762,20088390,20169162,20245117,20315156,20379048,20436429,20487618,20532535,20571208,20603919,20630732,20652665,20669717,20681489,20688625,20691596,20690521,20685213,20675378,20674156,20672934,20671712,20670491,20669269,20668047,20666826,20665604,20664383,20663161,20661940,20660719,20659498,20658277,20657056,20655835,20654614,20653393,20652173,20650952,20649732,20648511,20647291,20646070,20644850,20643630,20642410,20641190,20639970,20638750,20637530,20636310,20635091,20633871,20632652,20631432,20630213,20628993,20627774,20626555,20625336,20624117,20622898,20621679,20620460,20619241,20618023,20616804,20615586,20614367
China,1421864064,1411100000,1412360000,1412175000,1411878144,1411514112,1410828672,1409745664,1408257536,1406370816,1404127488,1401531648,1398609152,1395370240,1391793280,1387823616,1383543424,1378979328,1374247424,1369422336,1364531712,1359600384,1354616320,1349490176,1344025600,1338208512,1331850368,1324939776,1317446272,1309373312,1300755584,1291395968,1283453753,1275560384,1267715560,1259918982,1252170354,1244469380,1236815769,1229209228,1221649468,1214136201,1206669141,1199248005,1191872510,1184542374,1177257320,1170017069,1162821347,1155669879,1148562393,1141498619,1134478288,1127501133,1120566888,1113675289,1106826074,1100018983,1093253756,1086530135,1079847866,1073206693,1066606364,1060046628,1053527235,1047047937,1040608487,1034208640,1027848154,1021526784,1015244292,1009000438,1002794984,996627694,990498334,984406670,978352470,972335504,966355543,960412360,954505727,948635421
Colombia,50187404,50930662,51516562,51874024,52085168,52340774,52610722,52902741,53213060,53527052,53833603,54129764,54413737,54684075,54939194,55178639,55403609,55614410,55809100,55987723,56150514,56298077,56431283,56549346,56651603,56738474,56812317,56873465,56921552,56956823,56978269,56987651,57022783,57057936,57093111,57128308,57163526,57198766,57234028,57269312,57304617,57339944,57375293,57410664,57446056,57481470,57516906,57552364,57587844,57623346,57658869,57694415,57729982,57765572,57801183,57836816,57872471,57908148,57943848,57979569,58015312,58051077,58086864,58122674,58158505,58194359,58230234,58266132,58302052,58337994,58373958,58409944,58445953,58481983,58518036,58554111,58590209,58626328,58662470,58698634,58734821,58771030
Comoros,790993,806166,821625,836774,852075,867605,883075,898473,913809,929073,944275,959412,974457,989461,1004456,1019412,1034321,1049114,1063780,1078375,1092920,1107417,1121845,1136167,1150372,1164502,1178543,1192453,1206213,1219782,1233111,1246207,1260199,1274348,1288656,1303125,1317756,1332551,1347513,1362642,1377941,1393412,1409057,1424878,1440876,1457053,1473413,1489956,1506685,1523601,1540708,1558006,1575499,1593188,1611076,1629165,1647456,1665954,1684658,1703573,1722700,1742042,1761601,1781380,1801381,1821606,1842059,1862741,1883655,1904804,1926191,1947817,1969687,1991802,2014165,2036780,2059648,2082773,2106158,2129805,2153718,2177899
Congo,5570736,5702174,5835806,5970424,6106869,6244547,6383738,6525029,6668564,6814649,6963560,7114987,7268403,7423724,7580970,7740041,7900720,8062410,8225004,8388788,8553623,8719512,8886023,9052455,9218712,9384941,9551478,9718073,9884345,10049919,10214662,10378912,10552809,10729620,10909393,11092178,11278026,11466987,11659115,11854461,12053081,12255029,12460360,12669131,12881400,13097226,13316668,13539787,13766644,13997302,14231825,14470276,14712724,14959233,15209873,15464712,15723821,15987271,16255135,16527487,16804403,17085958,17372230,17663299,17959245,18260150,18566095,18877168,19193452,19515035,19842006,20174456,20512476,20856159,21205601,21560897,21922147,22289449,22662905,23042619,23428694,23821238
Costa Rica,5084527,5123105,5153957,5180829,5212173,5246714,5280199,5312699,5344137,5374600,5404011,5432243,5459302,5485099,5509609,5532923,5554928,5575485,5594607,5612274,5628343,5642847,5655693,5666916,5676705,5684960,5691658,5696869,5700565,5702694,5703325,5702525,5704701,5706878,5709055,5711234,5713413,5715593,5717774,5719955,5722138,5724321,5726505,5728691,5730876,5733063,5735251,5737439,5739628,5741818,5744009,5746201,5748393,5750587,5752781,5754976,5757172,5759369,5761566,5763765,5765964,5768164,5770365,5772567,5774769,5776973,5779177,5781382,5783588,5785795,5788003,5790211,5792421,5794631,5796842,5799054,5801266,5803480,5805694,5807910,5810126,5812343
Cote d'Ivoire,26147544,26811790,27478249,28160542,28873034,29603302,30344181,31095448,31857148,32630380,33415862,34211272,35016385,35831986,36657338,37489206,38326368,39169609,40018237,40870342,41725787,42586279,43451200,44319052,45190221,46065287,46942511,47821216,48702637,49586273,50470989,51358243,52290034,53238731,54204640,55188073,56189349,57208791,58246728,59303497,60379439,61474901,62590239,63725812,64881987,66059140,67257649,68477903,69720295,70985229,72273112,73584361,74919400,76278661,77662582,79071612,80506207,81966829,83453950,84968053,86509626,88079168,89677186,91304197,92960726,94647310,96364494,98112832,99892891,101705245,103550480,105429194,107341993,109289496,111272332,113291143,115346581,117439311,119570010,121739365,123948079,126196866
Croatia,4129749,4047680,3879000,3855600,3834139,3813021,3791989,3770843,3749390,3727569,3705357,3682721,3659610,3636012,3611819,3587281,3562242,3536796,3511111,3485135,3458990,3432829,3406520,3380367,3354304,3328303,3302505,3276874,3251322,3225849,3200649,3175053,3150159,3125460,3100955,3076642,3052520,3028586,3004841,2981281,2957907,2934715,2911706,2888876,2866226,2843754,2821457,2799336,2777387,2755611,2734006,2712570,2691302,2670201,2649265,2628494,2607885,2587438,2567151,2547024,2527054,2507240,2487582,2468078,2448727,2429528,2410480,2391580,2372829,2354225,2335767,2317453,2299283,2281256,2263369,2245623,2228017,2210548,2193216,2176020,2158959,2142032
Cuba,11316699,11300698,11256372,11212191,11194449,11174587,11152631,11128799,11103138,11075736,11046696,11016041,10983569,10949207,10913301,10875840,10836646,10795857,10753317,10708951,10662877,10615034,10565416,10514019,10460869,10405863,10348775,10289433,10227682,10163491,10096925,10028085,9965150,9902609,9840461,9778703,9717333,9656347,9595745,9535523,9475679,9416210,9357114,9298390,9240034,9182044,9124418,9067154,9010249,8953702,8897509,8841669,8786179,8731038,8676243,8621791,8567682,8513911,8460479,8407381,8354617,8302184,8250081,8198304,8146852,8095723,8044915,7994425,7944253,7894395,7844851,7795617,7746692,7698075,7649762,7601753,7554045,7506636,7459525,7412710,7366188,7319959
Cyprus,1228840,1237537,1244188,1251488,1260138,1268467,1276508,1284246,1291644,1298685,1305389,1311784,1317850,1323605,1329063,1334251,1339205,1343910,1348377,1352623,1356675,1360553,1364280,1367860,1371301,1374621,1377817,1380891,1383832,1386636,1389291,1391785,1394596,1397412,1400234,1403061,1405895,1408734,1411578,1414429,1417285,1420147,1423015,1425889,1428768,1431653,1434544,1437441,1440344,1443253,1446167,1449087,1452014,1454946,1457884,1460828,1463778,1466734,1469696,1472664,1475638,1478617,1481603,1484595,1487593,1490597,1493607,1496624,1499646,1502674,1505709,1508749,1511796,1514849,1517908,1520973,1524045,1527122,1530206,1533296,1536392,1539495
Czechia,10536876,10697858,10505772,10672118,10680324,10686089,10689182,10689497,10687311,10682957,10676785,10669380,10661530,10653825,10646454,10639945,10634514,10630550,10628313,10627932,10630089,10634486,10640853,10649131,10658266,10668134,10678031,10687366,10696428,10704350,10711904,10717496,10725406,10733323,10741245,10749173,10757107,10765047,10772992,10780944,10788901,10796864,10804833,10812808,10820789,10828776,10836768,10844767,10852771,10860782,10868798,10876820,10884848,10892882,10900922,10908968,10917020,10925077,10933141,10941211,10949286,10957368,10965456,10973549,10981648,10989754,10997865,11005983,11014106,11022236,11030371,11038512,11046660,11054813,11062973,11071138,11079310,11087487,11095671,11103860,11112056,11120258
Democratic Republic of Congo,89906896,92853164,95894118,99010212,102262808,105625114,109075560,112607660,116225955,119929158,123716492,127582053,131523203,135538810,139626690,143789026,148025707,152323103,156665737,161055774,165502851,170013815,174575803,179185515,183840294,188523850,193253818,198033915,202854315,207716793,212606516,217494003,222695339,228021064,233474153,239057652,244774679,250628429,256622169,262759249,269043097,275477222,282065217,288810764,295717630,302789672,310030841,317445181,325036834,332810041,340769142,348918584,357262919,365806808,374555022,383512448,392684090,402075070,411690634,421536153,431617126,441939184,452508092,463329754,474410215,485755663,497372436,509267022,521446065,533916369,546684897,559758783,573145330,586852013,600886489,615256598,629970366,645036012,660461950,676256797,692429375,708988718
Denmark,5795879,5831404,5856733,5903037,5928585,5953613,5978252,6002513,6026317,6049781,6072981,6095764,6118084,6139800,6161140,6181985,6202225,6222090,6241233,6259985,6278172,6295655,6312637,6328616,6343778,6358034,6371295,6383721,6395396,6406578,6417653,6428265,6439720,6451195,6462691,6474208,6485744,6497302,6508880,6520478,6532098,6543738,6555399,6567080,6578782,6590506,6602250,6614015,6625801,6637608,6649436,6661285,6673155,6685046,6696959,6708893,6720848,6732824,6744822,6756841,6768881,6780943,6793027,6805132,6817258,6829407,6841576,6853768,6865981,6878216,6890473,6902751,6915052,6927374,6939719,6952085,6964474,6976884,6989317,7001771,7014248,7026748
Djibouti,1073999,1090156,1105557,1120849,1136455,1152329,1168257,1184178,1200065,1215879,1231575,1247129,1262554,1277807,1292873,1307741,1322377,1336717,1350696,1364395,1377832,1390928,1403695,1416095,1428098,1439706,1450909,1461817,1472461,1482795,1492843,1502575,1513127,1523753,1534454,1545229,1556081,1567008,1578013,1589095,1600254,1611492,1622809,1634205,1645681,1657238,1668876,1680596,1692398,1704283,1716251,1728304,1740441,1752663,1764971,1777366,1789848,1802417,1815075,1827821,1840657,1853583,1866600,1879708,1892909,1906202,1919588,1933069,1946644,1960314,1974080,1987943,2001904,2015962,2030120,2044376,2058733,2073191,2087750,2102411,2117175,2132043
Dominica,71446,71995,72412,72737,73040,73368,73685,73984,74264,74527,74770,74988,75178,75338,75474,75579,75660,75717,75743,75745,75722,75668,75593,75504,75391,75262,75112,74947,74769,74576,74377,74167,73979,73792,73606,73420,73234,73049,72864,72680,72496,72313,72130,71947,71765,71584,71403,71222,71042,70862,70683,70504,70326,70148,69971,69794,69617,69441,69266,69091,68916,68742,68568,68394,68221,68049,67877,67705,67534,67363,67193,67023,66853,66684,66515,66347,66179,66012,65845,65679,65513,65347
Dominican Republic,10881886,10999664,11117873,11228821,11332972,11434005,11532151,11627301,11719851,11809986,11897570,11982523,12065051,12145326,12223234,12298752,12372136,12443225,12511883,12578040,12641774,12703248,12762152,12818453,12872473,12924431,12974297,13021610,13065951,13107192,13145386,13180541,13222182,13263954,13305858,13347894,13390064,13432366,13474802,13517372,13560077,13602917,13645892,13689002,13732249,13775633,13819153,13862812,13906608,13950542,13994615,14038828,14083180,14127672,14172305,14217079,14261994,14307051,14352250,14397593,14443078,14488707,14534481,14580399,14626462,14672670,14719025,14765526,14812174,14858969,14905912,14953004,15000244,15047634,15095173,15142862,15190702,15238693,15286836,15335131,15383578,15432179
Ecuador,17343742,17588595,17797737,18001000,18190484,18377367,18563370,18749869,18936525,19122047,19305626,19486952,19665584,19840908,20012290,20179297,20342202,20500994,20655436,20805883,20952371,21094529,21232395,21366555,21496458,21621378,21741483,21856853,21967446,22073004,22173750,22269779,22376969,22484674,22592899,22701644,22810912,22920706,23031029,23141883,23253271,23365194,23477656,23590660,23704207,23818301,23932945,24048140,24163889,24280196,24397062,24514491,24632485,24751047,24870180,24989886,25110168,25231029,25352472,25474500,25597115,25720320,25844118,25968512,26093504,26219099,26345298,26472104,26599520,26727550,26856196,26985462,27115349,27245862,27377003,27508775,27641181,27774225,27907909,28042236,28177210,28312834
Egypt,105618672,107465134,109262178,110990103,112716598,114484252,116275465,118058996,119838003,121611091,123382198,125151725,126921867,128705494,130511810,132340744,134183751,136037397,137892015,139742335,141589905,143422685,145240099,147040749,148813595,150552248,152256979,153937518,155594880,157213750,158792464,160339889,162007251,163691952,165394171,167114092,168851899,170607776,172381913,174174499,175985726,177815788,179664880,181533201,183420951,185328331,187255546,189202802,191170307,193158272,195166909,197196435,199247065,201319020,203412520,205527791,207665059,209824551,212006500,214211139,216438704,218689433,220963568,223261350,225583028,227928848,230299062,232693924,235113690,237558619,240028972,242525015,245047013,247595238,250169961,252771459,255400010,258055894,260739397,263450806,266190410,268958503
El Salvador,6280222,6292731,6314167,6336392,6364943,6396289,6426229,6454735,6481920,6507533,6531581,6554224,6575289,6594732,6612593,6628758,6642981,6655215,6665414,6673556,6679834,6684174,6686672,6687447,6686596,6684118,6679967,6674258,6667096,6658486,6648422,6636854,6628265,6619687,6611120,6602564,6594019,6585486,6576963,6568451,6559951,6551461,6542982,6534515,6526058,6517612,6509177,6500753,6492340,6483938,6475547,6467167,6458797,6450438,6442090,6433753,6425427,6417112,6408807,6400513,6392229,6383957,6375695,6367444,6359203,6350974,6342754,6334546,6326348,6318161,6309984,6301818,6293662,6285517,6277383,6269259,6261145,6253042,6244950,6236868,6228797,6220735
Equatorial Guinea,1553037,1596049,1634466,1674908,1714671,1754993,1795574,1836245,1876960,1917711,1958618,1999678,2040834,2081992,2122936,2163786,2204633,2245434,2286181,2326720,2367028,2407198,2447173,2486805,2526010,2564853,2603554,2641890,2679707,2717119,2754095,2790533,2829510,2869032,2909106,2949739,2990940,3032717,3075077,3118028,3161580,3205740,3250517,3295919,3341955,3388635,3435966,3483959,3532622,3581964,3631996,3682726,3734166,3786323,3839209,3892834,3947208,4002342,4058245,4114929,4172405,4230684,4289777,4349695,4410450,4472054,4534518,4597855,4662077,4727195,4793223,4860173,4928059,4996892,5066687,5137457,5209215,5281976,5355753,5430561,5506413,5583325
Estonia,1327039,1329522,1330932,1348840,1344839,1340718,1336376,1331804,1326994,1321915,1316533,1310883,1305009,1298993,1292807,1286576,1280331,1274091,1267888,1261740,1255603,1249487,1243424,1237365,1231337,1225319,1219334,1213356,1207390,1201356,1195248,1188891,1182894,1176928,1170991,1165085,1159208,1153361,1147543,1141755,1135996,1130266,1124565,1118893,1113249,1107634,1102047,1096488,1090958,1085455,1079980,1074532,1069112,1063720,1058354,1053016,1047705,1042420,1037162,1031930,1026725,1021547,1016394,1011267,1006166,1001091,996042,991018,986019,981045,976097,971174,966275,961401,956552,951727,946926,942150,937398,932670,927965,923285
Ethiopia,114120592,117190911,120283026,123379924,126527060,129719719,132938555,136180141,139439745,142715864,146003944,149296378,152585021,155874633,159160258,162438815,165715492,168986410,172252603,175514171,178779627,182052579,185332694,188613575,191902756,195196696,198485649,201764870,205033875,208297232,211557468,214812309,218235387,221713013,225246055,228835398,232481937,236186584,239950266,243773923,247658510,251605000,255614377,259687645,263825821,268029939,272301051,276640225,281048543,285527110,290077043,294699480,299395577,304166507,309013463,313937656,318940317,324022697,329186065,334431712,339760950,345175111,350675547,356263634,361940769,367708369,373567878,379520758,385568500,391712613,397954634,404296123,410738665,417283870,423933374,430688839,437551955,444524435,451608023,458804490,466115634,473543282
Fiji,918472,920422,924610,929766,936375,943072,949992,957162,964494,971841,979073,986172,993129,999949,1006621,1013135,1019549,1025842,1031992,1038011,1043850,1049476,1054902,1060105,1065062,1069814,1074382,1078746,1082892,1086848,1090614,1094174,1098176,1102193,1106224,1110270,1114331,1118406,1122497,1126602,1130723,1134859,1139009,1143175,1147356,1151553,1155765,1159992,1164234,1168493,1172766,1177056,1181361,1185682,1190018,1194371,1198739,1203124,1207524,1211941,1216373,1220822,1225287,1229769,1234267,1238781,1243312,1247859,1252423,1257004,1261601,1266216,1270847,1275495,1280160,1284842,1289542,1294258,1298992,1303743,1308511,1313297
Finland,5521539,5529543,5541017,5556106,5558637,5561178,5563187,5564253,5564519,5563853,5562122,5559254,5555658,5551392,5546721,5541775,5536627,5531497,5526592,5521584,5516683,5511788,5506884,5501976,5496769,5491356,5485505,5479430,5472748,5465686,5458628,5450846,5443941,5437044,5430156,5423277,5416406,5409544,5402691,5395847,5389011,5382184,5375365,5368555,5361754,5354961,5348177,5341402,5334635,5327877,5321127,5314386,5307653,5300929,5294214,5287507,5280808,5274118,5267437,5260763,5254099,5247443,5240795,5234155,5227524,5220902,5214288,5207682,5201085,5194495,5187915,5181342,5174778,5168223,5161675,5155136,5148605,5142083,5135568,5129062,5122564,5116075
France,64399760,67571107,67764304,67971311,68095424,68218008,68337096,68446856,68541816,68629648,68703824,68764016,68818784,68863312,68901336,68928320,68948888,68962224,68972792,68980208,68983288,68983224,68977248,68966720,68950496,68926256,68893120,68851888,68804040,68747416,68684664,68609096,68552432,68495815,68439244,68382720,68326243,68269812,68213428,68157091,68100800,68044556,67988358,67932207,67876102,67820043,67764030,67708064,67652144,67596270,67540443,67484661,67428926,67373236,67317593,67261995,67206444,67150938,67095478,67040064,66984696,66929373,66874097,66818865,66763680,66708540,66653445,66598396,66543393,66488435,66433522,66378655,66323833,66269056,66214325,66159638,66104997,66050401,65995850,65941344,65886884,65832468
Gabon,2242788,2292573,2341179,2388992,2436566,2484557,2532885,2581236,2629579,2677790,2726063,2774523,2823293,2872311,2921510,2970796,3020240,3069919,3119671,3169407,3219237,3269247,3319354,3369410,3419273,3468867,3518104,3566979,3615404,3663233,3710489,3757053,3806756,3857117,3908144,3959845,4012231,4065310,4119091,4173584,4228797,4284741,4341425,4398859,4457053,4516017,4575760,4636294,4697629,4759775,4822744,4886545,4951191,5016691,5083058,5150304,5218438,5287475,5357424,5428299,5500111,5572874,5646599,5721299,5796988,5873678,5951382,6030115,6109889,6190718,6272617,6355599,6439679,6524872,6611191,6698652,6787270,6877061,6968040,7060222,7153623,7248261
Gambia,2508882,2573995,2639916,2705992,2773168,2841803,2911207,2981095,3051307,3121685,3192412,3263651,3335153,3406845,3478941,3551235,3623617,3696214,3768766,3841110,3913159,3984778,4056053,4126792,4196882,4266668,4336077,4405075,4473507,4541056,4607658,4673743,4744368,4816061,4888837,4962712,5037704,5113829,5191105,5269548,5349177,5430009,5512062,5595355,5679907,5765736,5852863,5941306,6031086,6122222,6214735,6308647,6403977,6500748,6598981,6698699,6799924,6902678,7006985,7112868,7220351,7329458,7440214,7552644,7666773,7782626,7900230,8019611,8140796,8263812,8388687,8515449,8644127,8774749,8907345,9041944,9178578,9317276,9458070,9600992,9746073,9893347
Georgia,3770814,3722716,3708610,3712502,3698729,3691679,3683872,3675245,3665830,3655579,3644380,3632620,3620078,3607022,3593499,3579742,3565726,3551664,3537472,3523277,3508778,3494222,3479672,3465077,3450379,3435874,3421389,3406917,3392371,3377681,3363014,3347803,3333277,3318814,3304413,3290075,3275800,3261586,3247434,3233343,3219314,3205345,3191437,3177589,3163802,3150074,3136406,3122797,3109247,3095756,3082323,3068949,3055633,3042374,3029173,3016030,3002943,2989913,2976940,2964023,2951162,2938357,2925607,2912913,2900274,2887689,2875160,2862684,2850263,2837896,2825582,2813322,2801115,2788961,2776859,2764810,2752814,2740869,2728977,2717136,2705346,2693607
Germany,83148144,83160871,83196078,83797985,83699288,83610040,83526344,83444736,83359000,83270424,83171088,83063056,82947568,82819296,82677840,82523808,82354224,82174960,81984848,81783456,81567736,81338184,81099360,80849600,80588960,80319000,80042632,79757336,79468624,79176496,78884080,78586096,78297985,78010930,77724928,77439974,77156065,76873196,76591365,76310567,76030798,75752055,75474334,75197632,74921943,74647266,74373595,74100928,73829260,73558589,73288909,73020219,72752513,72485789,72220043,71955271,71691469,71428635,71166765,70905854,70645900,70386900,70128848,69871743,69615580,69360357,69106069,68852713,68600287,68348785,68098206,67848546,67599800,67351967,67105042,66859023,66613905,66369687,66126363,65883932,65642389,65401732
Ghana,31522294,32180401,32833031,33475870,34121985,34777522,35439785,36102736,36767488,37435099,38104805,38775850,39447704,40121418,40797660,41475941,42158202,42844158,43533065,44223240,44910363,45595915,46280424,46961808,47640796,48318003,48988101,49650302,50306482,50955129,51596895,52231785,52905853,53588620,54280198,54980702,55690245,56408946,57136921,57874292,58621178,59377703,60143992,60920169,61706363,62502704,63309321,64126348,64953920,65792171,66641240,67501266,68372392,69254760,70148515,71053804,71970776,72899582,73840374,74793308,75758540,76736228,77726534,78729620,79745651,80774794,81817219,82873096,83942600,85025906,86123193,87234640,88360431,89500751,90655787,91825729,93010770,94211104,95426928,96658443,97905851,99169358
Greece,10574026,10698599,10569207,10426919,10384471,10341796,10298810,10255841,10212637,10169317,10125594,10081906,10038593,9994967,9951285,9907474,9863635,9819784,9775938,9731693,9687271,9642002,9595913,9548532,9500147,9450863,9400236,9348360,9294987,9239974,9183448,9123838,9069541,9015568,8961916,8908583,8855567,8802867,8750480,8698406,8646641,8595184,8544034,8493187,8442644,8392401,8342457,8292811,8243460,8194402,8145637,8097161,8048975,8001075,7953460,7906128,7859078,7812308,7765817,7719602,7673662,7627995,7582601,7537476,7492620,7448031,7403707,7359647,7315849,7272312,7229034,7186014,7143249,7100739,7058482,7016477,6974721,6933214,6891954,6850939,6810169,6769641
Grenada,122737,123663,124610,125438,126183,126887,127553,128189,128786,129341,129870,130367,130833,131280,131698,132100,132494,132868,133233,133581,133905,134219,134511,134786,135042,135279,135500,135696,135867,136018,136147,136253,136404,136555,136707,136858,137010,137162,137314,137467,137619,137772,137924,138077,138230,138384,138537,138691,138845,138999,139153,139307,139462,139616,139771,139926,140081,140237,140392,140548,140704,140860,141016,141172,141329,141486,141642,141800,141957,142114,142272,142430,142588,142746,142904,143062,143221,143380,143539,143698,143857,144017
Guatemala,17106338,16858333,17109746,17357886,17601416,17868220,18133696,18399666,18662754,18924192,19185066,19443820,19701146,19956604,20208774,20459500,20706564,20949750,21188658,21425118,21657208,21883728,22105208,22320944,22531048,22735080,22933676,23126984,23314768,23497222,23674518,23846174,24032985,24221260,24411009,24602245,24794979,24989223,25184989,25382288,25581133,25781536,25983508,26187063,26392213,26598969,26807346,27017355,27229009,27442321,27657304,27873972,28092336,28312412,28534211,28757748,28983037,29210090,29438922,29669547,29901978,30136230,30372318,30610254,30850055,31091735,31335307,31580788,31828192,32077535,32328830,32582094,32837343,33094590,33353854,33615148,33878489,34143893,34411377,34680955,34952646,35226465
Guinea,12877537,13205153,13531906,13859341,14190612,14528770,14873051,15220392,15568760,15918453,16269856,16622388,16976053,17330988,17687444,18044749,18402322,18759589,19115845,19471305,19827660,20185302,20542980,20900498,21256643,21611646,21966440,22319580,22669657,23018196,23366123,23711700,24077051,24448032,24824728,25207229,25595623,25990002,26390457,26797082,27209973,27629226,28054938,28487210,28926143,29371838,29824401,30283937,30750553,31224360,31705466,32193986,32690032,33193722,33705172,34224503,34751836,35287294,35831003,36383089,36943681,37512911,38090912,38677819,39273769,39878901,40493357,41117281,41750818,42394117,43047327,43710603,44384098,45067971,45762380,46467489,47183463,47910468,48648675,49398256,50159387,50932245
Guinea-Bissau,1970460,2015828,2060721,2105566,2150842,2197149,2244368,2291896,2339677,2387792,2436201,2484863,2533716,2582689,2631836,2681179,2730575,2779923,2829211,2878439,2927526,2976354,3024905,3073149,3121218,3168974,3216222,3263074,3309375,3355175,3400527,3445289,3493024,3541421,3590488,3640235,3690671,3741806,3793649,3846211,3899501,3953529,4008306,4063842,4120147,4177232,4235109,4293787,4353278,4413594,4474745,4536743,4599601,4663329,4727940,4793447,4859861,4927195,4995463,5064676,5134848,5205992,5278122,5351251,5425394,5500564,5576775,5654042,5732380,5811803,5892327,5973966,6056737,6140654,6225734,6311993,6399446,6488112,6578006,6669146,6761548,6855230
Guyana,798761,797202,804567,808726,813834,819594,825051,830213,835082,839668,843990,848033,851765,855198,858368,861278,863917,866301,868452,870380,872100,873641,874999,876161,877143,877955,878575,878991,879203,879236,879094,878746,878780,878814,878849,878883,878917,878951,878985,879020,879054,879088,879122,879157,879191,879225,879259,879293,879328,879362,879396,879430,879465,879499,879533,879567,879601,879636,879670,879704,879738,879773,879807,879841,879875,879910,879944,879978,880012,880047,880081,880115,880149,880184,880218,880252,880286,880321,880355,880389,880424,880458
Haiti,11160441,11306801,11447569,11584996,11724763,11867030,12009506,12150613,12290342,12428585,12564896,12700006,12834396,12967403,13098831,13229269,13359166,13488390,13616339,13743136,13867905,13990109,14109871,14227369,14343068,14456973,14568753,14677930,14784689,14888886,14990139,15087520,15193469,15300163,15407605,15515802,15624759,15734481,15844974,15956242,16068292,16181129,16294758,16409185,16524415,16640455,16757310,16874985,16993486,17112820,17232992,17354007,17475873,17598594,17722177,17846627,17971952,18098157,18225248,18353231,18482114,18611901,18742600,18874216,19006757,19140228,19274637,19409990,19546293,19683553,19821777,19960972,20101144,20242301,20384449,20527595,20671746,20816910,20963093,21110302,21258546,21407830
Honduras,9958832,10121763,10278345,10432860,10593798,10759406,10923967,11087423,11249392,11409647,11568061,11724522,11878542,12029728,12178241,12323556,12465996,12605632,12742317,12876433,13007530,13135763,13261233,13383793,13503682,13620656,13734814,13845900,13953405,14058003,14159746,14258514,14365626,14473543,14582271,14691815,14802182,14913379,15025410,15138284,15252005,15366580,15482017,15598320,15715497,15833555,15952499,16072336,16193074,16314719,16437278,16560758,16685165,16810506,16936790,17064021,17192209,17321360,17451481,17582579,17714662,17847737,17981813,18116895,18252992,18390111,18528261,18667448,18807681,18948967,19091315,19234732,19379226,19524806,19671480,19819255,19968140,20118144,20269275,20421541,20574951,20729513
Hungary,9771799,9750149,9709891,9643048,9457003,9308121,9196469,9132676,9086730,9049350,9010831,8971024,8930055,8887659,8843861,8798530,8752159,8704960,8657379,8610251,8563843,8518490,8474452,8431364,8389522,8348553,8308641,8269044,8230226,8191565,8152757,8112307,8073600,8035079,7996741,7958585,7920612,7882821,7845209,7807777,7770523,7733448,7696549,7659826,7623278,7586905,7550705,7514678,7478823,7443139,7407626,7372282,7337106,7302098,7267257,7232583,7198074,7163729,7129549,7095531,7061676,7027983,6994450,6961077,6927863,6894808,6861911,6829170,6796586,6764157,6731883,6699763,6667796,6635982,6604319,6572808,6541447,6510236,6479173,6448259,6417492,6386872
Iceland,360787,366463,372520,382003,384407,386755,389035,391232,393328,395320,397203,398959,400618,402175,403618,404978,406231,407399,408483,409463,410360,411180,411925,412607,413215,413756,414232,414641,414987,415312,415567,415755,416060,416366,416671,416977,417284,417590,417897,418203,418511,418818,419125,419433,419741,420049,420358,420666,420975,421284,421594,421903,422213,422523,422833,423144,423454,423765,424076,424388,424699,425011,425323,425636,425948,426261,426574,426887,427201,427514,427828,428142,428457,428771,429086,429401,429716,430032,430348,430664,430980,431296
India,1383112064,1396387127,1407563842,1417173173,1428627663,1441719852,1454606724,1467231210,1479578522,1491671049,1503470597,1514994080,1526208890,1537108035,1547689835,1557919806,1567802259,1577302813,1586438621,1595245783,1603664860,1611676333,1619318360,1626585377,1633430529,1639837771,1645863187,1651513758,1656777045,1661705662,1666284995,1670490596,1675460123,1680444434,1685443573,1690457584,1695486510,1700530398,1705589290,1710663232,1715752268,1720856444,1725975804,1731110394,1736260258,1741425443,1746605993,1751801955,1757013375,1762240298,1767482771,1772740839,1778014549,1783303948,1788609083,1793930000,1799266746,1804619368,1809987913,1815372430,1820772965,1826189566,1831622280,1837071156,1842536243,1848017587,1853515237,1859029243,1864559652,1870106513,1875669876,1881249789,1886846302,1892459464,1898089324,1903735933,1909399339,1915079594,1920776746,1926490848,1932221948,1937970097
