Countries,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bahamas,404563,406471,407906,409984,412623,415223,417790,420306,422785,425211,427562,429846,432055,434166,436175,438082,439873,441526,443039,444418,445659,446760,447724,448557,449247,449788,450211,450527,450708,450774,450743,450625,450708,450791,450874,450956,451039,451122,451205,451288,451371,451454,451537,451620,451703,451786,451869,451952,452035,452119,452202,452285,452368,452451,452534,452618,452701,452784,452867,452950,453034,453117,453200,453284,453367,453450,453534,453617,453700,453784,453867,453951,454034,454118,454201,454285,454368,454452,454535,454619,454702,454786
Bahrain,1494195,1477469,1463265,1472233,1485509,1498712,1511676,1524461,1537124,1549710,1562228,1574679,1587097,1599504,1611918,1624315,1636698,1649093,1661491,1673928,1686356,1698716,1711015,1723162,1735093,1746778,1758146,1769175,1779843,1790091,1799885,1809237,1819632,1830087,1840602,1851177,1861813,1872510,1883268,1894089,1904971,1915916,1926924,1937995,1949130,1960329,1971592,1982920,1994313,2005771,2017295,2028886,2040543,2052267,2064058,2075917,2087844,2099840,2111905,2124039,2136242,2148516,2160860,2173276,2185762,2198321,2210951,2223654,2236430,2249280,2262203,2275200,2288273,2301420,2314643,2327942,2341317,2354769,2368298,2381905,2395591,2409354
Bangladesh,165516224,167420951,169356251,171186372,172954319,174701211,176421509,178106136,179751964,181356085,182915579,184424144,185878302,187281026,188629587,189925419,191166614,192347658,193472026,194542147,195558997,196526123,197444714,198317585,199152551,199951236,200709378,201429647,202111723,202751082,203348861,203904900,204550084,205197309,205846582,206497910,207151298,207806754,208464284,209123894,209785592,210449383,211115275,211783273,212453385,213125618,213799977,214476470,215155104,215835885,216518820,217203916,217891180,218580618,219272238,219966047,220662050,221360256,222060671,222763302,223468157,224175241,224884563,225596130,226309948,227026024,227744367,228464982,229187877,229913060,230640537,231370317,232102405,232836810,233573538,234312598,235053996,235797740,236543837,237292295,238043121,238796323
Barbados,280193,280693,281200,281635,281995,282309,282580,282797,282962,283071,283112,283082,282986,282815,282567,282255,281861,281387,280849,280235,279540,278768,277923,277003,276014,274967,273860,272705,271515,270291,269048,267788,266590,265397,264210,263027,261851,260679,259513,258352,257196,256045,254899,253759,252623,251493,250368,249248,248132,247022,245917,244817,243721,242631,241545,240465,239389,238318,237251,236190,235133,234081,233034,231991,230953,229920,228891,227867,226847,225832,224822,223816,222815,221818,220825,219837,218854,217874,216900,215929,214963,214001
Belarus,9673971,9379952,9302585,9228071,9187054,9147972,9110196,9073720,9037002,8999330,8960287,8920151,8878854,8836567,8793880,8750605,8707787,8664881,8622499,8580803,8539645,8499180,8459544,8420547,8382308,8345264,8309111,8273434,8237806,8201261,8164297,8125076,8088761,8052608,8016617,7980787,7945117,7909606,7874255,7839061,7804024,7769144,7734420,7699851,7665437,7631176,7597069,7563114,7529310,7495658,7462156,7428804,7395601,7362547,7329640,7296880,7264267,7231799,7199477,7167299,7135265,7103374,7071625,7040019,7008553,6977229,6946044,6914999,6884092,6853324,6822693,6792199,6761841,6731619,6701532,6671580,6641761,6612076,6582524,6553103,6523814,6494656
Belgium,11510569,11538604,11586195,11685814,11714453,11742661,11769598,11795369,11819942,11843332,11865194,11885483,11904589,11922170,11938736,11954223,11968672,11982120,11994247,12005479,12015443,12024291,12031816,12037844,12042292,12045064,12046766,12046505,12044475,12040811,12036214,12029329,12025845,12022361,12018879,12015398,12011917,12008438,12004960,12001482,11998006,11994531,11991056,11987583,11984111,11980640,11977169,11973700,11970232,11966765,11963298,11959833,11956369,11952906,11949443,11945982,11942522,11939063,11935604,11932147,11928691,11925236,11921782,11918328,11914876,11911425,11907975,11904525,11901077,11897630,11894184,11890739,11887294,11883851,11880409,11876968,11873527,11870088,11866650,11863213,11859776,11856341
Belize,389103,394921,400031,405272,410825,416656,422440,428165,433836,439438,444964,450428,455824,461151,466383,471528,476595,481550,486398,491158,495805,500312,504690,508939,513071,517095,521005,524795,528472,532039,535494,538838,542477,546141,549829,553543,557281,561045,564834,568649,572490,576356,580249,584168,588113,592085,596084,600109,604162,608243,612351,616486,620650,624842,629062,633310,637588,641894,646229,650593,654987,659411,663864,668348,672862,677406,681981,686587,691224,695893,700593,705324,710088,714884,719712,724573,729466,734393,739353,744346,749373,754434
Benin,12290443,12643123,12996895,13352864,13712828,14080072,14454199,14832937,15216009,15603721,15996447,16393827,16795573,17201982,17613873,18030401,18450172,18874268,19303369,19737070,20176029,20620647,21069601,21522780,21980068,22440979,22905813,23373375,23842061,24313238,24787656,25264035,25764049,26273959,26793961,27324254,27865043,28416535,28978942,29552479,30137368,30733833,31342102,31962410,32594995,33240100,33897973,34568865,35253036,35950748,36662268,37387870,38127834,38882442,39651985,40436758,41237064,42053208,42885505,43734275,44599843,45482543,46382712,47300697,48236850,49191531,50165106,51157951,52170445,53202978,54255946,55329754,56424815,57541548,58680384,59841758,61026118,62233918,63465623,64721705,66002646,67308940
Bhutan,767467,772506,777486,782455,787424,792382,797335,802260,807152,811997,816780,821498,826118,830618,834985,839181,843199,847047,850697,854140,857356,860331,863045,865481,867621,869441,870966,872205,873151,873814,874192,874294,874961,875629,876297,876966,877635,878304,878975,879645,880316,880988,881660,882333,883006,883680,884354,885029,885705,886380,887057,887734,888411,889089,889767,890446,891126,891806,892486,893167,893849,894531,895213,895896,896580,897264,897949,898634,899320,900006,900693,901380,902068,902756,903445,904134,904824,905515,906205,906897,907589,908281
Bolivia,11777318,11936162,12079472,12224110,12388571,12567336,12746148,12924657,13102178,13278039,13452352,13625507,13797344,13967882,14136814,14303356,14467239,14629061,14788620,14945408,15099347,15250564,15399200,15545347,15688782,15829210,15966827,16101682,16233225,16361324,16487088,16609854,16741534,16874258,17008035,17142872,17278777,17415761,17553830,17692994,17833261,17974640,18117140,18260770,18405538,18551454,18698527,18846766,18996180,19146779,19298571,19451567,19605776,19761207,19917871,20075777,20234934,20395353,20557044,20720017,20884282,21049849,21216729,21384932,21554468,21725348,21897583,22071183,22246160,22422524,22600286,22779458,22960049,23142073,23325539,23510460,23696847,23884712,24074066,24264921,24457290,24651183
Bosnia and Herzegovina,3360718,3318407,3270943,3233526,3210847,3194378,3181557,3168378,3154834,3140867,3126508,3111789,3096667,3081097,3065088,3048617,3031666,3014271,2996445,2978236,2959706,2940837,2921671,2902258,2882595,2862709,2842606,2822280,2801773,2781093,2760168,2739014,2718753,2698642,2678680,2658865,2639197,2619675,2600296,2581062,2561969,2543018,2524207,2505535,2487001,2468604,2450344,2432218,2414227,2396368,2378642,2361047,2343582,2326246,2309038,2291958,2275004,2258175,2241471,2224891,2208433,2192097,2175882,2159786,2143810,2127952,2112211,2096587,2081078,2065684,2050404,2035237,2020182,2005238,1990405,1975682,1961067,1946561,1932162,1917870,1903683,1889601
Botswana,2499705,2546402,2588423,2630296,2675352,2719694,2763338,2806300,2848644,2890377,2931568,2972271,3012432,3052105,3091424,3130405,3169059,3207327,3244988,3282099,3318773,3355041,3390767,3425834,3460278,3494050,3527139,3559380,3590737,3621294,3650860,3679340,3710559,3742044,3773795,3805816,3838109,3870675,3903518,3936640,3970042,4003728,4037700,4071960,4106511,4141355,4176495,4211933,4247671,4283713,4320061,4356717,4393684,4430964,4468561,4506477,4544715,4583277,4622167,4661386,4700938,4740826,4781052,4821620,4862531,4903790,4945399,4987361,5029679,5072356,5115396,5158800,5202573,5246717,5291236,5336132,5381410,5427071,5473120,5519560,5566394,5613625
Brazil,211782880,213196304,214326223,215313498,216422446,217637297,218803058,219927144,221002333,222022547,222989897,223908968,224778256,225589538,226347402,227053318,227705396,228304039,228848367,229332682,229759755,230132293,230444491,230694805,230886445,231027408,231122502,231169239,231168894,231124440,231031649,230885725,230838399,230791082,230743775,230696478,230649191,230601913,230554645,230507386,230460138,230412898,230365669,230318449,230271239,230224039,230176848,230129667,230082496,230035334,229988183,229941040,229893908,229846785,229799671,229752568,229705474,229658389,229611315,229564249,229517194,229470148,229423112,229376086,229329069,229282062,229235064,229188076,229141098,229094129,229047170,229000221,228953281,228906351,228859430,228812519,228765618,228718726,228671844,228624972,228578109,228531255
